에이전트,질문,평가항목,가용여부,가용 데이터,테이블/컬럼,가정/갭,실제 쿼리,예상 답변
주문 관리,최근 7일 ERP 전송일 기준 발주 금액 추이,전송일 기준 발주 트렌드,⚠️,ERP 전송일/발주금액,"raw_order_extract.erp_send_dt,ord_amt",발주 등록일 컬럼 부재로 ERP 전송일을 발주일로 대체,"SELECT erp_send_dt, SUM(COALESCE(NULLIF(ord_amt,'')::numeric,0)) AS total_ord_amt FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(erp_send_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY erp_send_dt ORDER BY erp_send_dt",요청한 7일 기준 ERP 전송일 기반 발주금액 추이를 제공합니다.
주문 관리,최근 7일 주문 단위(BOX/EA 등)별 발주수량 비교,단위별 발주 구조,✅,주문단위/수량,"raw_order_extract.ord_unit,ord_qty",-,"SELECT ord_unit, SUM(COALESCE(NULLIF(ord_qty,'')::numeric,0)) AS total_ord_qty FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(dlv_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY ord_unit ORDER BY total_ord_qty DESC",요청한 7일 기준 주문 단위별 발주수량을 제공합니다.
주문 관리,최근 7일 수동 선택 사유(reason) 상위 패턴,의사결정 사유 분석,✅,선택 사유 텍스트,"ordering_selections.reason,selected_at",자유입력 텍스트라 정규화 필요,"SELECT reason, COUNT(*) AS cnt FROM ordering_selections WHERE store_id = :store_id AND selected_at::date BETWEEN :date_from AND :date_to AND reason IS NOT NULL AND reason <> '' GROUP BY reason ORDER BY cnt DESC LIMIT 10",요청한 7일 기준 자주 입력된 선택 사유를 제공합니다.
주문 관리,최근 7일 대형 예약주문만 분리해서 보여줘,예약주문 분리 가능 여부,❌,예약 전용 플래그 부재,raw_order_extract.ord_type(매핑 불명),ORD_TYPE 코드-업무 매핑 사전 없어서 신뢰 분리 불가,"SELECT 'UNAVAILABLE' AS status, '예약주문 식별 코드 매핑 부재' AS reason",현재 스키마만으로는 대형 예약주문을 신뢰성 있게 분리할 수 없습니다.
주문 관리,최근 7일 오늘 주문 마감 전 필요한 추가 발주량 추천,마감 전 보정 추천,⚠️,주문이력 + 재고스냅샷,"raw_order_extract.ord_rec_qty,raw_inventory_extract.stock_qty",실시간 재고/예약주문 미반영으로 보정치 오차 가능,"WITH ord AS (SELECT item_cd, AVG(COALESCE(NULLIF(ord_rec_qty,'')::numeric,0)) AS avg_rec_qty FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(dlv_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY item_cd), stk AS (SELECT item_cd, MAX(COALESCE(NULLIF(stock_qty,'')::numeric,0)) AS latest_stock_qty FROM raw_inventory_extract WHERE masked_stor_cd = :store_id GROUP BY item_cd) SELECT o.item_cd, o.avg_rec_qty, COALESCE(s.latest_stock_qty,0) AS latest_stock_qty, GREATEST(o.avg_rec_qty - COALESCE(s.latest_stock_qty,0),0) AS suggested_additional_qty FROM ord o LEFT JOIN stk s ON s.item_cd = o.item_cd ORDER BY suggested_additional_qty DESC LIMIT 20",요청한 7일 기준 추천발주 대비 현재재고를 비교한 추가 발주 권고량을 제공합니다.
주문 관리,최근 7일 발주금액 대비 VAT 비중,세금비중 점검,✅,발주금액/VAT,"raw_order_extract.ord_amt,ord_vat",-,"SELECT SUM(COALESCE(NULLIF(ord_amt,'')::numeric,0)) AS total_ord_amt, SUM(COALESCE(NULLIF(ord_vat,'')::numeric,0)) AS total_ord_vat, SUM(COALESCE(NULLIF(ord_vat,'')::numeric,0)) / NULLIF(SUM(COALESCE(NULLIF(ord_amt,'')::numeric,0)),0) AS vat_ratio FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(dlv_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to",요청한 7일 기준 발주금액 대비 VAT 비중을 제공합니다.
주문 관리,최근 7일 발주 추천수량과 실제 발주수량 차이,추천-실행 편차,✅,추천수량/실제수량,"raw_order_extract.ord_rec_qty,ord_qty",-,"SELECT item_cd, item_nm, SUM(COALESCE(NULLIF(ord_qty,'')::numeric,0)) AS actual_ord_qty, SUM(COALESCE(NULLIF(ord_rec_qty,'')::numeric,0)) AS rec_ord_qty, SUM(COALESCE(NULLIF(ord_qty,'')::numeric,0) - COALESCE(NULLIF(ord_rec_qty,'')::numeric,0)) AS gap_qty FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(dlv_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY item_cd, item_nm ORDER BY ABS(SUM(COALESCE(NULLIF(ord_qty,'')::numeric,0) - COALESCE(NULLIF(ord_rec_qty,'')::numeric,0))) DESC LIMIT 20",요청한 7일 기준 추천 대비 실제 발주 편차 상위 품목을 제공합니다.
주문 관리,최근 14일 납품예정일 기준 확정 발주 수량 상위 품목,확정수량 집계 정확성,✅,확정수량/납품일,"raw_order_extract.dlv_dt,confrm_qty,item_cd,item_nm",-,"SELECT item_cd, item_nm, SUM(COALESCE(NULLIF(confrm_qty,'')::numeric,0)) AS total_confrm_qty FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(dlv_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY item_cd, item_nm ORDER BY total_confrm_qty DESC LIMIT 10",요청한 14일 기준 납품예정 확정수량 상위 품목을 제공합니다.
주문 관리,최근 14일 발주수량 대비 확정수량 차이가 큰 품목,미출/차이 분석,✅,발주/확정 수량,"raw_order_extract.ord_qty,confrm_qty",-,"SELECT item_cd, item_nm, SUM(COALESCE(NULLIF(ord_qty,'')::numeric,0)) AS ord_qty_sum, SUM(COALESCE(NULLIF(confrm_qty,'')::numeric,0)) AS confrm_qty_sum, SUM(COALESCE(NULLIF(ord_qty,'')::numeric,0) - COALESCE(NULLIF(confrm_qty,'')::numeric,0)) AS gap_qty FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(dlv_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY item_cd, item_nm ORDER BY gap_qty DESC LIMIT 10",요청한 14일 기준 발주-확정 차이 상위 품목을 제공합니다.
주문 관리,최근 14일 자동발주 비율 알려줘,자동발주 운영비율,✅,자동발주 여부,raw_order_extract.auto_ord_yn,-,"SELECT COUNT(*) FILTER (WHERE auto_ord_yn = 'Y')::numeric / NULLIF(COUNT(*),0) AS auto_order_ratio, COUNT(*) AS total_rows FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(dlv_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to",요청한 14일 기준 자동발주 비율과 전체 주문건수를 제공합니다.
주문 관리,최근 14일 발주 차수(1차/2차)별 주문금액 비교,차수별 발주 전략,✅,차수명/주문금액,"raw_order_extract.ord_dgre_nm,ord_amt",-,"SELECT ord_dgre_nm, SUM(COALESCE(NULLIF(ord_amt,'')::numeric,0)) AS total_ord_amt FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(dlv_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY ord_dgre_nm ORDER BY total_ord_amt DESC",요청한 14일 기준 발주 차수별 금액을 제공합니다.
주문 관리,최근 14일 주문 옵션 선택 이력에서 가장 많이 고른 옵션,점주 선택 패턴,✅,옵션 선택 이력,"ordering_selections.option_id,selected_at,store_id",-,"SELECT option_id, COUNT(*) AS selected_count FROM ordering_selections WHERE store_id = :store_id AND selected_at::date BETWEEN :date_from AND :date_to GROUP BY option_id ORDER BY selected_count DESC LIMIT 3",요청한 14일 기준 점주가 자주 선택한 옵션 순위를 제공합니다.
주문 관리,최근 14일 ERP 전송일 기준 발주 금액 추이,전송일 기준 발주 트렌드,⚠️,ERP 전송일/발주금액,"raw_order_extract.erp_send_dt,ord_amt",발주 등록일 컬럼 부재로 ERP 전송일을 발주일로 대체,"SELECT erp_send_dt, SUM(COALESCE(NULLIF(ord_amt,'')::numeric,0)) AS total_ord_amt FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(erp_send_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY erp_send_dt ORDER BY erp_send_dt",요청한 14일 기준 ERP 전송일 기반 발주금액 추이를 제공합니다.
주문 관리,최근 14일 주문 단위(BOX/EA 등)별 발주수량 비교,단위별 발주 구조,✅,주문단위/수량,"raw_order_extract.ord_unit,ord_qty",-,"SELECT ord_unit, SUM(COALESCE(NULLIF(ord_qty,'')::numeric,0)) AS total_ord_qty FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(dlv_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY ord_unit ORDER BY total_ord_qty DESC",요청한 14일 기준 주문 단위별 발주수량을 제공합니다.
주문 관리,최근 14일 수동 선택 사유(reason) 상위 패턴,의사결정 사유 분석,✅,선택 사유 텍스트,"ordering_selections.reason,selected_at",자유입력 텍스트라 정규화 필요,"SELECT reason, COUNT(*) AS cnt FROM ordering_selections WHERE store_id = :store_id AND selected_at::date BETWEEN :date_from AND :date_to AND reason IS NOT NULL AND reason <> '' GROUP BY reason ORDER BY cnt DESC LIMIT 10",요청한 14일 기준 자주 입력된 선택 사유를 제공합니다.
주문 관리,최근 14일 대형 예약주문만 분리해서 보여줘,예약주문 분리 가능 여부,❌,예약 전용 플래그 부재,raw_order_extract.ord_type(매핑 불명),ORD_TYPE 코드-업무 매핑 사전 없어서 신뢰 분리 불가,"SELECT 'UNAVAILABLE' AS status, '예약주문 식별 코드 매핑 부재' AS reason",현재 스키마만으로는 대형 예약주문을 신뢰성 있게 분리할 수 없습니다.
주문 관리,최근 14일 오늘 주문 마감 전 필요한 추가 발주량 추천,마감 전 보정 추천,⚠️,주문이력 + 재고스냅샷,"raw_order_extract.ord_rec_qty,raw_inventory_extract.stock_qty",실시간 재고/예약주문 미반영으로 보정치 오차 가능,"WITH ord AS (SELECT item_cd, AVG(COALESCE(NULLIF(ord_rec_qty,'')::numeric,0)) AS avg_rec_qty FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(dlv_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY item_cd), stk AS (SELECT item_cd, MAX(COALESCE(NULLIF(stock_qty,'')::numeric,0)) AS latest_stock_qty FROM raw_inventory_extract WHERE masked_stor_cd = :store_id GROUP BY item_cd) SELECT o.item_cd, o.avg_rec_qty, COALESCE(s.latest_stock_qty,0) AS latest_stock_qty, GREATEST(o.avg_rec_qty - COALESCE(s.latest_stock_qty,0),0) AS suggested_additional_qty FROM ord o LEFT JOIN stk s ON s.item_cd = o.item_cd ORDER BY suggested_additional_qty DESC LIMIT 20",요청한 14일 기준 추천발주 대비 현재재고를 비교한 추가 발주 권고량을 제공합니다.
주문 관리,최근 14일 발주금액 대비 VAT 비중,세금비중 점검,✅,발주금액/VAT,"raw_order_extract.ord_amt,ord_vat",-,"SELECT SUM(COALESCE(NULLIF(ord_amt,'')::numeric,0)) AS total_ord_amt, SUM(COALESCE(NULLIF(ord_vat,'')::numeric,0)) AS total_ord_vat, SUM(COALESCE(NULLIF(ord_vat,'')::numeric,0)) / NULLIF(SUM(COALESCE(NULLIF(ord_amt,'')::numeric,0)),0) AS vat_ratio FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(dlv_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to",요청한 14일 기준 발주금액 대비 VAT 비중을 제공합니다.
주문 관리,최근 14일 발주 추천수량과 실제 발주수량 차이,추천-실행 편차,✅,추천수량/실제수량,"raw_order_extract.ord_rec_qty,ord_qty",-,"SELECT item_cd, item_nm, SUM(COALESCE(NULLIF(ord_qty,'')::numeric,0)) AS actual_ord_qty, SUM(COALESCE(NULLIF(ord_rec_qty,'')::numeric,0)) AS rec_ord_qty, SUM(COALESCE(NULLIF(ord_qty,'')::numeric,0) - COALESCE(NULLIF(ord_rec_qty,'')::numeric,0)) AS gap_qty FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(dlv_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY item_cd, item_nm ORDER BY ABS(SUM(COALESCE(NULLIF(ord_qty,'')::numeric,0) - COALESCE(NULLIF(ord_rec_qty,'')::numeric,0))) DESC LIMIT 20",요청한 14일 기준 추천 대비 실제 발주 편차 상위 품목을 제공합니다.
주문 관리,이번 달 납품예정일 기준 확정 발주 수량 상위 품목,확정수량 집계 정확성,✅,확정수량/납품일,"raw_order_extract.dlv_dt,confrm_qty,item_cd,item_nm",-,"SELECT item_cd, item_nm, SUM(COALESCE(NULLIF(confrm_qty,'')::numeric,0)) AS total_confrm_qty FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(dlv_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY item_cd, item_nm ORDER BY total_confrm_qty DESC LIMIT 10",요청한 월간 기준 납품예정 확정수량 상위 품목을 제공합니다.
주문 관리,이번 달 발주수량 대비 확정수량 차이가 큰 품목,미출/차이 분석,✅,발주/확정 수량,"raw_order_extract.ord_qty,confrm_qty",-,"SELECT item_cd, item_nm, SUM(COALESCE(NULLIF(ord_qty,'')::numeric,0)) AS ord_qty_sum, SUM(COALESCE(NULLIF(confrm_qty,'')::numeric,0)) AS confrm_qty_sum, SUM(COALESCE(NULLIF(ord_qty,'')::numeric,0) - COALESCE(NULLIF(confrm_qty,'')::numeric,0)) AS gap_qty FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(dlv_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY item_cd, item_nm ORDER BY gap_qty DESC LIMIT 10",요청한 월간 기준 발주-확정 차이 상위 품목을 제공합니다.
주문 관리,이번 달 자동발주 비율 알려줘,자동발주 운영비율,✅,자동발주 여부,raw_order_extract.auto_ord_yn,-,"SELECT COUNT(*) FILTER (WHERE auto_ord_yn = 'Y')::numeric / NULLIF(COUNT(*),0) AS auto_order_ratio, COUNT(*) AS total_rows FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(dlv_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to",요청한 월간 기준 자동발주 비율과 전체 주문건수를 제공합니다.
주문 관리,이번 달 발주 차수(1차/2차)별 주문금액 비교,차수별 발주 전략,✅,차수명/주문금액,"raw_order_extract.ord_dgre_nm,ord_amt",-,"SELECT ord_dgre_nm, SUM(COALESCE(NULLIF(ord_amt,'')::numeric,0)) AS total_ord_amt FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(dlv_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY ord_dgre_nm ORDER BY total_ord_amt DESC",요청한 월간 기준 발주 차수별 금액을 제공합니다.
주문 관리,이번 달 주문 옵션 선택 이력에서 가장 많이 고른 옵션,점주 선택 패턴,✅,옵션 선택 이력,"ordering_selections.option_id,selected_at,store_id",-,"SELECT option_id, COUNT(*) AS selected_count FROM ordering_selections WHERE store_id = :store_id AND selected_at::date BETWEEN :date_from AND :date_to GROUP BY option_id ORDER BY selected_count DESC LIMIT 3",요청한 월간 기준 점주가 자주 선택한 옵션 순위를 제공합니다.
주문 관리,이번 달 ERP 전송일 기준 발주 금액 추이,전송일 기준 발주 트렌드,⚠️,ERP 전송일/발주금액,"raw_order_extract.erp_send_dt,ord_amt",발주 등록일 컬럼 부재로 ERP 전송일을 발주일로 대체,"SELECT erp_send_dt, SUM(COALESCE(NULLIF(ord_amt,'')::numeric,0)) AS total_ord_amt FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(erp_send_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY erp_send_dt ORDER BY erp_send_dt",요청한 월간 기준 ERP 전송일 기반 발주금액 추이를 제공합니다.
주문 관리,이번 달 주문 단위(BOX/EA 등)별 발주수량 비교,단위별 발주 구조,✅,주문단위/수량,"raw_order_extract.ord_unit,ord_qty",-,"SELECT ord_unit, SUM(COALESCE(NULLIF(ord_qty,'')::numeric,0)) AS total_ord_qty FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(dlv_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY ord_unit ORDER BY total_ord_qty DESC",요청한 월간 기준 주문 단위별 발주수량을 제공합니다.
주문 관리,이번 달 수동 선택 사유(reason) 상위 패턴,의사결정 사유 분석,✅,선택 사유 텍스트,"ordering_selections.reason,selected_at",자유입력 텍스트라 정규화 필요,"SELECT reason, COUNT(*) AS cnt FROM ordering_selections WHERE store_id = :store_id AND selected_at::date BETWEEN :date_from AND :date_to AND reason IS NOT NULL AND reason <> '' GROUP BY reason ORDER BY cnt DESC LIMIT 10",요청한 월간 기준 자주 입력된 선택 사유를 제공합니다.
주문 관리,이번 달 대형 예약주문만 분리해서 보여줘,예약주문 분리 가능 여부,❌,예약 전용 플래그 부재,raw_order_extract.ord_type(매핑 불명),ORD_TYPE 코드-업무 매핑 사전 없어서 신뢰 분리 불가,"SELECT 'UNAVAILABLE' AS status, '예약주문 식별 코드 매핑 부재' AS reason",현재 스키마만으로는 대형 예약주문을 신뢰성 있게 분리할 수 없습니다.
주문 관리,이번 달 오늘 주문 마감 전 필요한 추가 발주량 추천,마감 전 보정 추천,⚠️,주문이력 + 재고스냅샷,"raw_order_extract.ord_rec_qty,raw_inventory_extract.stock_qty",실시간 재고/예약주문 미반영으로 보정치 오차 가능,"WITH ord AS (SELECT item_cd, AVG(COALESCE(NULLIF(ord_rec_qty,'')::numeric,0)) AS avg_rec_qty FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(dlv_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY item_cd), stk AS (SELECT item_cd, MAX(COALESCE(NULLIF(stock_qty,'')::numeric,0)) AS latest_stock_qty FROM raw_inventory_extract WHERE masked_stor_cd = :store_id GROUP BY item_cd) SELECT o.item_cd, o.avg_rec_qty, COALESCE(s.latest_stock_qty,0) AS latest_stock_qty, GREATEST(o.avg_rec_qty - COALESCE(s.latest_stock_qty,0),0) AS suggested_additional_qty FROM ord o LEFT JOIN stk s ON s.item_cd = o.item_cd ORDER BY suggested_additional_qty DESC LIMIT 20",요청한 월간 기준 추천발주 대비 현재재고를 비교한 추가 발주 권고량을 제공합니다.
주문 관리,이번 달 발주금액 대비 VAT 비중,세금비중 점검,✅,발주금액/VAT,"raw_order_extract.ord_amt,ord_vat",-,"SELECT SUM(COALESCE(NULLIF(ord_amt,'')::numeric,0)) AS total_ord_amt, SUM(COALESCE(NULLIF(ord_vat,'')::numeric,0)) AS total_ord_vat, SUM(COALESCE(NULLIF(ord_vat,'')::numeric,0)) / NULLIF(SUM(COALESCE(NULLIF(ord_amt,'')::numeric,0)),0) AS vat_ratio FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(dlv_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to",요청한 월간 기준 발주금액 대비 VAT 비중을 제공합니다.
주문 관리,이번 달 발주 추천수량과 실제 발주수량 차이,추천-실행 편차,✅,추천수량/실제수량,"raw_order_extract.ord_rec_qty,ord_qty",-,"SELECT item_cd, item_nm, SUM(COALESCE(NULLIF(ord_qty,'')::numeric,0)) AS actual_ord_qty, SUM(COALESCE(NULLIF(ord_rec_qty,'')::numeric,0)) AS rec_ord_qty, SUM(COALESCE(NULLIF(ord_qty,'')::numeric,0) - COALESCE(NULLIF(ord_rec_qty,'')::numeric,0)) AS gap_qty FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(dlv_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY item_cd, item_nm ORDER BY ABS(SUM(COALESCE(NULLIF(ord_qty,'')::numeric,0) - COALESCE(NULLIF(ord_rec_qty,'')::numeric,0))) DESC LIMIT 20",요청한 월간 기준 추천 대비 실제 발주 편차 상위 품목을 제공합니다.
주문 관리,지난 달 납품예정일 기준 확정 발주 수량 상위 품목,확정수량 집계 정확성,✅,확정수량/납품일,"raw_order_extract.dlv_dt,confrm_qty,item_cd,item_nm",-,"SELECT item_cd, item_nm, SUM(COALESCE(NULLIF(confrm_qty,'')::numeric,0)) AS total_confrm_qty FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(dlv_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY item_cd, item_nm ORDER BY total_confrm_qty DESC LIMIT 10",요청한 월간 기준 납품예정 확정수량 상위 품목을 제공합니다.
주문 관리,지난 달 발주수량 대비 확정수량 차이가 큰 품목,미출/차이 분석,✅,발주/확정 수량,"raw_order_extract.ord_qty,confrm_qty",-,"SELECT item_cd, item_nm, SUM(COALESCE(NULLIF(ord_qty,'')::numeric,0)) AS ord_qty_sum, SUM(COALESCE(NULLIF(confrm_qty,'')::numeric,0)) AS confrm_qty_sum, SUM(COALESCE(NULLIF(ord_qty,'')::numeric,0) - COALESCE(NULLIF(confrm_qty,'')::numeric,0)) AS gap_qty FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(dlv_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY item_cd, item_nm ORDER BY gap_qty DESC LIMIT 10",요청한 월간 기준 발주-확정 차이 상위 품목을 제공합니다.
주문 관리,지난 달 자동발주 비율 알려줘,자동발주 운영비율,✅,자동발주 여부,raw_order_extract.auto_ord_yn,-,"SELECT COUNT(*) FILTER (WHERE auto_ord_yn = 'Y')::numeric / NULLIF(COUNT(*),0) AS auto_order_ratio, COUNT(*) AS total_rows FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(dlv_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to",요청한 월간 기준 자동발주 비율과 전체 주문건수를 제공합니다.
주문 관리,지난 달 발주 차수(1차/2차)별 주문금액 비교,차수별 발주 전략,✅,차수명/주문금액,"raw_order_extract.ord_dgre_nm,ord_amt",-,"SELECT ord_dgre_nm, SUM(COALESCE(NULLIF(ord_amt,'')::numeric,0)) AS total_ord_amt FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(dlv_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY ord_dgre_nm ORDER BY total_ord_amt DESC",요청한 월간 기준 발주 차수별 금액을 제공합니다.
주문 관리,지난 달 주문 옵션 선택 이력에서 가장 많이 고른 옵션,점주 선택 패턴,✅,옵션 선택 이력,"ordering_selections.option_id,selected_at,store_id",-,"SELECT option_id, COUNT(*) AS selected_count FROM ordering_selections WHERE store_id = :store_id AND selected_at::date BETWEEN :date_from AND :date_to GROUP BY option_id ORDER BY selected_count DESC LIMIT 3",요청한 월간 기준 점주가 자주 선택한 옵션 순위를 제공합니다.
주문 관리,지난 달 ERP 전송일 기준 발주 금액 추이,전송일 기준 발주 트렌드,⚠️,ERP 전송일/발주금액,"raw_order_extract.erp_send_dt,ord_amt",발주 등록일 컬럼 부재로 ERP 전송일을 발주일로 대체,"SELECT erp_send_dt, SUM(COALESCE(NULLIF(ord_amt,'')::numeric,0)) AS total_ord_amt FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(erp_send_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY erp_send_dt ORDER BY erp_send_dt",요청한 월간 기준 ERP 전송일 기반 발주금액 추이를 제공합니다.
주문 관리,지난 달 주문 단위(BOX/EA 등)별 발주수량 비교,단위별 발주 구조,✅,주문단위/수량,"raw_order_extract.ord_unit,ord_qty",-,"SELECT ord_unit, SUM(COALESCE(NULLIF(ord_qty,'')::numeric,0)) AS total_ord_qty FROM raw_order_extract WHERE masked_stor_cd = :store_id AND to_date(dlv_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY ord_unit ORDER BY total_ord_qty DESC",요청한 월간 기준 주문 단위별 발주수량을 제공합니다.
매출 관리,오늘 총매출과 일평균 매출 알려줘,기간 매출 집계 정확성,✅,일별 매출,"core_daily_item_sales.sale_dt,sale_amt",-,"SELECT SUM(sale_amt) AS total_sale_amt, SUM(sale_amt) / NULLIF(COUNT(DISTINCT sale_dt),0) AS avg_daily_sale_amt, COUNT(DISTINCT sale_dt) AS business_days FROM core_daily_item_sales WHERE masked_stor_cd = :store_id AND to_date(sale_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to","요청한 하루 기준 총매출, 일평균 매출, 집계 영업일수를 제공합니다."
매출 관리,오늘 상품 매출 상위 10개 알려줘,상품 Top-N 정확성,✅,상품별 매출/수량,"core_daily_item_sales.item_cd,item_nm,sale_amt,sale_qty",-,"SELECT item_cd, item_nm, SUM(sale_amt) AS total_sale_amt, SUM(sale_qty) AS total_sale_qty FROM core_daily_item_sales WHERE masked_stor_cd = :store_id AND to_date(sale_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY item_cd, item_nm ORDER BY total_sale_amt DESC LIMIT 10",요청한 하루 기준 매출 상위 10개 상품을 제공합니다.
매출 관리,오늘 시간대별 매출 피크 알려줘,피크시간 탐지,✅,시간대 매출,"core_hourly_item_sales.tmzon_div,sale_amt",-,"SELECT tmzon_div, SUM(sale_amt) AS total_sale_amt FROM core_hourly_item_sales WHERE masked_stor_cd = :store_id AND to_date(sale_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY tmzon_div ORDER BY total_sale_amt DESC LIMIT 5",요청한 하루 기준 매출이 높은 시간대 순위를 제공합니다.
매출 관리,오늘 온라인/오프라인 채널 매출 비중,채널믹스 계산 정확성,✅,채널별 매출,"core_channel_sales.ho_chnl_div,sale_amt",-,"SELECT ho_chnl_div, SUM(sale_amt) AS total_sale_amt, SUM(sale_amt) / NULLIF(SUM(SUM(sale_amt)) OVER (),0) AS sale_ratio FROM core_channel_sales WHERE masked_stor_cd = :store_id AND to_date(sale_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY ho_chnl_div ORDER BY total_sale_amt DESC",요청한 하루 기준 채널별 매출 비중을 제공합니다.
매출 관리,오늘 배달 채널별 주문건수 비교,채널별 주문건수,⚠️,채널명/주문건수,"core_channel_sales.ho_chnl_nm,ord_cnt",ho_chnl_nm 데이터 품질에 따라 플랫폼 분리가 일부 불완전할 수 있음,"SELECT ho_chnl_nm, SUM(ord_cnt) AS total_ord_cnt FROM core_channel_sales WHERE masked_stor_cd = :store_id AND to_date(sale_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to AND ho_chnl_div LIKE '온라인%' GROUP BY ho_chnl_nm ORDER BY total_ord_cnt DESC",요청한 하루 기준 배달 채널별 주문건수를 제공합니다.
매출 관리,오늘 결제수단별 매출 비중,결제믹스 분석,✅,결제수단별 매출,"raw_daily_store_pay_way.pay_way_cd_nm,pay_amt,sale_dt",-,"SELECT pay_way_cd_nm, SUM(COALESCE(NULLIF(pay_amt,'')::numeric,0)) AS total_pay_amt, SUM(COALESCE(NULLIF(pay_amt,'')::numeric,0)) / NULLIF(SUM(SUM(COALESCE(NULLIF(pay_amt,'')::numeric,0))) OVER (),0) AS pay_ratio FROM raw_daily_store_pay_way WHERE masked_stor_cd = :store_id AND to_date(sale_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY pay_way_cd_nm ORDER BY total_pay_amt DESC",요청한 하루 기준 결제수단별 매출 비중을 제공합니다.
매출 관리,오늘 할인금액이 큰 상품 상위 10개,할인 영향 상품 파악,✅,상품별 할인금액,"core_daily_item_sales.dc_amt,item_cd,item_nm",-,"SELECT item_cd, item_nm, SUM(dc_amt) AS total_dc_amt, SUM(sale_amt) AS total_sale_amt FROM core_daily_item_sales WHERE masked_stor_cd = :store_id AND to_date(sale_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY item_cd, item_nm ORDER BY total_dc_amt DESC LIMIT 10",요청한 하루 기준 할인금액 영향이 큰 상품을 제공합니다.
