질문번호,기준지점,기준일시,에이전트,표시라벨,질문,가용여부,테이블/컬럼,가정/갭,일반화 쿼리,예시 쿼리,예상 답변,의도ID,동의어
063-001-,POC_010,2026-03-05 09:00 (KST),주문 관리,발주 간격 7일+ 품목,이번 달 발주 간격이 7일 이상 벌어진 품목 있어?,⚠️,"raw_order_extract.ord_qty, confrm_qty, auto_ord_yn, dlv_dt",납품 없는 발주 또는 발주 없는 납품 감지는 추가 로직 필요,"WITH DailyOrders AS (
    -- 1. 기간 내 품목별 실제 발주가 들어간 일자 목록 추출 (중복 제거)
    SELECT DISTINCT
        item_cd,
        item_nm,
        TO_DATE(dlv_dt, 'YYYYMMDD') AS order_date
    FROM
        raw_order_extract
    WHERE
        masked_stor_cd = :store_id
        AND dlv_dt BETWEEN :date_from AND :date_to -- 이번 달(조회) 기간 지정
        AND CAST(ord_qty AS NUMERIC) > 0             -- 점주가 실제 발주한 유효 건
),
OrderIntervals AS (
    -- 2. 품목별 직전 발주 일자를 가져와 간격 계산 준비
    SELECT
        item_cd,
        item_nm,
        order_date,
        LAG(order_date) OVER (PARTITION BY item_cd ORDER BY order_date ASC) AS prev_order_date
    FROM
        DailyOrders
)
-- 3. 직전 발주와의 간격이 7일 이상인 품목 필터링
SELECT
    item_cd,
    item_nm,
    prev_order_date,                               -- 이전 발주(배송) 일자
    order_date AS current_order_date,              -- 이번 발주(배송) 일자
    (order_date - prev_order_date) AS gap_days     -- 발주 간격 (일수)
FROM
    OrderIntervals
WHERE
    (order_date - prev_order_date) >= 7            -- 간격이 7일 이상 벌어진 경우만 추출
ORDER BY
    gap_days DESC,                                 -- 간격이 가장 긴 순으로 정렬
    order_date DESC;","WITH DailyOrders AS (
    SELECT DISTINCT
        item_cd,
        item_nm,
        TO_DATE(dlv_dt, 'YYYYMMDD') AS order_date
    FROM
        raw_order_extract
    WHERE
        masked_stor_cd = 'POC_010'
        AND dlv_dt BETWEEN '20260101' AND '20260130'  -- 이번 달(1월) 기간 적용
        AND CAST(ord_qty AS NUMERIC) > 0
),
OrderIntervals AS (
    SELECT
        item_cd,
        item_nm,
        order_date,
        LAG(order_date) OVER (PARTITION BY item_cd ORDER BY order_date ASC) AS prev_order_date
    FROM
        DailyOrders
)
SELECT
    item_cd,
    item_nm,
    prev_order_date,
    order_date AS current_order_date,
    (order_date - prev_order_date) AS gap_days
FROM
    OrderIntervals
WHERE
    (order_date - prev_order_date) >= 7
ORDER BY
    gap_days DESC,
    order_date DESC;","납품일 간격이 7일 이상 벌어진 품목(발주 공백)을 나열하고, 해당 기간 재고율 변화와 품절 발생 여부를 수치로 제시",ordering_get_orders_with_gap_over_7days,발주 간격 7일 이상 품목|발주 공백 큰 품목|발주 텀이 긴 품목|발주 사이 일주일 넘는 품목|작년 발주 간격 벌어진 품목|발주 띄엄띄엄 품목|납품 간격 7일 이상|이번 달 발주 공백 품목|이번 달 발주 간격 7일 이상
064-001-,POC_010,2026-03-05 09:00 (KST),주문 관리,,최근 30일 발주가 3회 이하인 품목 알려줘,⚠️,"raw_order_extract.ord_qty, confrm_qty, auto_ord_yn, dlv_dt",납품 없는 발주 또는 발주 없는 납품 감지는 추가 로직 필요,"SELECT 
    item_cd,
    item_nm,
    COUNT(DISTINCT dlv_dt) AS order_count,           -- 기준 기간 내 발주(배송 예정) 횟수
    SUM(CAST(ord_qty AS NUMERIC)) AS total_order_qty -- 기준 기간 내 총 발주 수량
FROM 
    raw_order_extract
WHERE 
    masked_stor_cd = :store_id
    AND dlv_dt BETWEEN :date_from AND :date_to     -- 2026년 2월 3일 ~ 2026년 3월 4일 매핑
    AND CAST(ord_qty AS NUMERIC) > 0                 -- 점주가 실제 발주한 유효 건 한정
GROUP BY 
    item_cd, 
    item_nm
HAVING 
    COUNT(DISTINCT dlv_dt) <= 3                      -- 발주 횟수가 3회 이하인 품목 필터링
ORDER BY 
    order_count ASC,
    total_order_qty ASC;","SELECT 
    item_cd,
    item_nm,
    COUNT(DISTINCT dlv_dt) AS order_count,           -- 기준 기간 내 발주(배송 예정) 횟수
    SUM(CAST(ord_qty AS NUMERIC)) AS total_order_qty -- 기준 기간 내 총 발주 수량
FROM 
    raw_order_extract
WHERE 
    masked_stor_cd = :store_id
    AND dlv_dt BETWEEN :date_from AND :date_to     -- 2026년 2월 3일 ~ 2026년 3월 4일 매핑
    AND CAST(ord_qty AS NUMERIC) > 0                 -- 점주가 실제 발주한 유효 건 한정
GROUP BY 
    item_cd, 
    item_nm
HAVING 
    COUNT(DISTINCT dlv_dt) <= 3                      -- 발주 횟수가 3회 이하인 품목 필터링
ORDER BY 
    order_count ASC,
    total_order_qty ASC;","최근 30일 발주 횟수가 3회 이하인 품목 목록과 해당 품목의 판매 패턴을 제시하고, 발주 빈도 증가가 필요한 품목을 우선순위로 안내",,
065-001-,POC_010,2026-03-05 09:00 (KST),주문 관리,,이번 달 발주 후 납품까지 평균 며칠 걸려?,⚠️,"raw_order_extract.ord_qty, confrm_qty, auto_ord_yn, dlv_dt",발주일-납품일 간격은 dlv_dt 기준 집계; 정확한 발주 전송일 필요,"SELECT 
    ROUND(
        AVG(TO_DATE(dlv_dt, 'YYYYMMDD') - TO_DATE(erp_send_dt, 'YYYYMMDD')), 1
    ) AS avg_lead_time_days                          -- 발주 후 납품까지의 평균 소요일수
FROM 
    raw_order_extract
WHERE 
    masked_stor_cd = :store_id
    AND dlv_dt BETWEEN :date_from AND :date_to     -- 이번 달(조회) 납품 기간 지정
    AND CAST(ord_qty AS NUMERIC) > 0                 -- 점주가 실제 발주한 유효 건 한정
    AND erp_send_dt IS NOT NULL                      -- ERP 전송 일자 데이터가 존재하는 건
    AND erp_send_dt != '';","SELECT 
    ROUND(
        AVG(TO_DATE(dlv_dt, 'YYYYMMDD') - TO_DATE(erp_send_dt, 'YYYYMMDD')), 1
    ) AS avg_lead_time_days
FROM 
    raw_order_extract
WHERE 
    masked_stor_cd = 'POC_010'
    AND dlv_dt BETWEEN '20260201' AND '20260230'     -- 이번 달(2026년 2월) 적용
    AND CAST(ord_qty AS NUMERIC) > 0
    AND erp_send_dt IS NOT NULL
    AND erp_send_dt != '';","이번 달 발주일에서 납품일까지 평균 소요일을 품목별로 나열하고, 리드타임이 긴 품목(3일 이상)에 대한 사전 발주 시점 조정 방향을 안내",,
066-001-,POC_010,2026-03-05 09:00 (KST),주문 관리,,최근 30일 납품 리드타임이 1일인 품목과 2일 이상인 품목 비율 알려줘,⚠️,"raw_order_extract.ord_qty, confrm_qty, auto_ord_yn, dlv_dt",발주일-납품일 간격은 dlv_dt 기준 집계; 정확한 발주 전송일 필요,"WITH ItemLeadTime AS (
    -- 1. 품목별 평균 리드타임 계산
    SELECT
        item_cd,
        ROUND(AVG(TO_DATE(dlv_dt, 'YYYYMMDD') - TO_DATE(erp_send_dt, 'YYYYMMDD')), 0) AS avg_lead_days
    FROM
        raw_order_extract
    WHERE
        masked_stor_cd = :store_id
        AND dlv_dt BETWEEN :date_from AND :date_to  -- 기준 기간 지정
        AND CAST(ord_qty AS NUMERIC) > 0              -- 점주가 실제 발주한 유효 건
        AND erp_send_dt IS NOT NULL                   -- ERP 전송 일자 데이터가 존재하는 건
        AND erp_send_dt != ''
    GROUP BY
        item_cd
)
-- 2. 리드타임 기준(1일 이하 vs 2일 이상) 품목 수 및 비율 집계
SELECT
    COUNT(item_cd) AS total_item_cnt,                                            -- 전체 발주 품목 수
    SUM(CASE WHEN avg_lead_days <= 1 THEN 1 ELSE 0 END) AS lead_1_day_cnt,       -- 평균 리드타임 1일(이하) 품목 수
    SUM(CASE WHEN avg_lead_days >= 2 THEN 1 ELSE 0 END) AS lead_over_2_days_cnt, -- 평균 리드타임 2일 이상 품목 수
    ROUND(
        (SUM(CASE WHEN avg_lead_days <= 1 THEN 1 ELSE 0 END) / NULLIF(CAST(COUNT(item_cd) AS NUMERIC), 0)) * 100, 2
    ) AS lead_1_day_ratio,                                                       -- 1일(이하) 품목 비율 (%)
    ROUND(
        (SUM(CASE WHEN avg_lead_days >= 2 THEN 1 ELSE 0 END) / NULLIF(CAST(COUNT(item_cd) AS NUMERIC), 0)) * 100, 2
    ) AS lead_over_2_days_ratio                                                  -- 2일 이상 품목 비율 (%)
FROM
    ItemLeadTime;","WITH ItemLeadTime AS (
    SELECT
        item_cd,
        ROUND(AVG(TO_DATE(dlv_dt, 'YYYYMMDD') - TO_DATE(erp_send_dt, 'YYYYMMDD')), 0) AS avg_lead_days
    FROM
        raw_order_extract
    WHERE
        masked_stor_cd = 'POC_010'
        AND dlv_dt BETWEEN '20260203' AND '20260304'  -- 최신 데이터 기준 30일 적용
        AND CAST(ord_qty AS NUMERIC) > 0
        AND erp_send_dt IS NOT NULL
        AND erp_send_dt != ''
    GROUP BY
        item_cd
)
SELECT
    COUNT(item_cd) AS total_item_cnt,
    SUM(CASE WHEN avg_lead_days <= 1 THEN 1 ELSE 0 END) AS lead_1_day_cnt,
    SUM(CASE WHEN avg_lead_days >= 2 THEN 1 ELSE 0 END) AS lead_over_2_days_cnt,
    ROUND(
        (SUM(CASE WHEN avg_lead_days <= 1 THEN 1 ELSE 0 END) / NULLIF(CAST(COUNT(item_cd) AS NUMERIC), 0)) * 100, 2
    ) AS lead_1_day_ratio,
    ROUND(
        (SUM(CASE WHEN avg_lead_days >= 2 THEN 1 ELSE 0 END) / NULLIF(CAST(COUNT(item_cd) AS NUMERIC), 0)) * 100, 2
    ) AS lead_over_2_days_ratio
FROM
    ItemLeadTime;","최근 30일 품목별 리드타임 분포(1일/2일 이상)를 수치로 제시하고, 리드타임 2일 이상 품목에 대한 발주 시점 당기기 방향을 안내",,
068-001-,POC_010,2026-03-05 09:00 (KST),주문 관리,추천과 다른 발주 품목?,오늘 발주 추천 수량과 실제 발주 수량 차이가 큰 품목 알려줘,✅,"raw_order_extract.ord_qty, ord_rec_qty, confrm_qty, dlv_dt",추천 수량 컬럼(ord_rec_qty) 기반 비교; 추천 또는 실 발주 NULL 행은 제외,"SELECT
    item_cd,
    MAX(item_nm) AS item_nm,
    SUM(NULLIF(ord_rec_qty, '')::numeric) AS recommended_qty,
    SUM(NULLIF(ord_qty, '')::numeric) AS actual_qty,
    SUM(NULLIF(ord_qty, '')::numeric) - SUM(NULLIF(ord_rec_qty, '')::numeric) AS qty_diff,
    ABS(SUM(NULLIF(ord_qty, '')::numeric) - SUM(NULLIF(ord_rec_qty, '')::numeric)) AS qty_difference,
    CASE
        WHEN SUM(NULLIF(ord_qty, '')::numeric) > SUM(NULLIF(ord_rec_qty, '')::numeric) THEN '과잉 발주'
        WHEN SUM(NULLIF(ord_qty, '')::numeric) < SUM(NULLIF(ord_rec_qty, '')::numeric) THEN '추천 미달'
        ELSE '일치'
    END AS direction
FROM raw_order_extract
WHERE masked_stor_cd = :store_id
  AND dlv_dt = :reference_dt
  AND NULLIF(ord_rec_qty, '') IS NOT NULL
  AND NULLIF(ord_qty, '') IS NOT NULL
GROUP BY item_cd
HAVING ABS(SUM(NULLIF(ord_qty, '')::numeric) - SUM(NULLIF(ord_rec_qty, '')::numeric)) > 0
ORDER BY qty_difference DESC
LIMIT 10;","SELECT
    item_cd,
    MAX(item_nm) AS item_nm,
    SUM(NULLIF(ord_rec_qty, '')::numeric) AS recommended_qty,
    SUM(NULLIF(ord_qty, '')::numeric) AS actual_qty,
    SUM(NULLIF(ord_qty, '')::numeric) - SUM(NULLIF(ord_rec_qty, '')::numeric) AS qty_diff,
    ABS(SUM(NULLIF(ord_qty, '')::numeric) - SUM(NULLIF(ord_rec_qty, '')::numeric)) AS qty_difference,
    CASE
        WHEN SUM(NULLIF(ord_qty, '')::numeric) > SUM(NULLIF(ord_rec_qty, '')::numeric) THEN '과잉 발주'
        WHEN SUM(NULLIF(ord_qty, '')::numeric) < SUM(NULLIF(ord_rec_qty, '')::numeric) THEN '추천 미달'
        ELSE '일치'
    END AS direction
FROM raw_order_extract
WHERE masked_stor_cd = 'POC_010'
  AND dlv_dt = '20260305'
  AND NULLIF(ord_rec_qty, '') IS NOT NULL
  AND NULLIF(ord_qty, '') IS NOT NULL
GROUP BY item_cd
HAVING ABS(SUM(NULLIF(ord_qty, '')::numeric) - SUM(NULLIF(ord_rec_qty, '')::numeric)) > 0
ORDER BY qty_difference DESC
LIMIT 10;","오늘(또는 기준일) 시스템 추천 발주수량과 실제 발주수량의 편차를 품목 단위로 집계해 상위 품목을 추출하고, 과잉 발주/추천 미달 방향과 함께 점주의 발주 조정 의사결정에 필요한 정보를 제시",ordering_compare_recommended_vs_actual_order_qty,추천 발주 무시한 품목|추천량 어긋난 발주|추천 안 따른 품목|발주량 추천 차이|추천 대비 실발주|발주 권장량과 차이|오늘 추천과 실제 발주 차이 큰 품목|추천 수량 vs 실 발주 편차
072-001-,POC_010,2026-03-05 09:00 (KST),주문 관리,,최근 30일 발주 비율이 늘어나고 있어?,✅,"raw_order_extract.ord_qty, confrm_qty, auto_ord_yn, dlv_dt",수동발주 = auto_ord_yn=N 기준,"SELECT
    dlv_dt AS delivery_date,                                 -- 납품(배송) 예정 일자
    SUM(CAST(ord_qty AS NUMERIC)) AS daily_order_qty,        -- 일자별 총 발주 수량
    SUM(CAST(confrm_qty AS NUMERIC)) AS daily_confirmed_qty, -- 일자별 총 확정(출하) 수량
    ROUND(
        (SUM(CAST(confrm_qty AS NUMERIC)) / NULLIF(SUM(CAST(ord_qty AS NUMERIC)), 0)) * 100, 2
    ) AS confirmation_rate                                   -- 일자별 발주 대비 확정률 (%)
FROM
    raw_order_extract
WHERE
    masked_stor_cd = :store_id
    AND dlv_dt BETWEEN :date_from AND :date_to             -- 최근 30일 기간 지정
GROUP BY
    dlv_dt
ORDER BY
    dlv_dt ASC;","SELECT
    dlv_dt AS delivery_date,
    SUM(CAST(ord_qty AS NUMERIC)) AS daily_order_qty,
    SUM(CAST(confrm_qty AS NUMERIC)) AS daily_confirmed_qty,
    ROUND(
        (SUM(CAST(confrm_qty AS NUMERIC)) / NULLIF(SUM(CAST(ord_qty AS NUMERIC)), 0)) * 100, 2
    ) AS confirmation_rate
FROM
    raw_order_extract
WHERE
    masked_stor_cd = 'POC_010'
    AND dlv_dt BETWEEN '20260126' AND '20260224'             -- 최근 30일 적용
GROUP BY
    dlv_dt
ORDER BY
    dlv_dt ASC;","최근 30일 수동발주 비율 변화 추이를 수치로 제시하고, 수동발주 증가 원인(수동발주 해제, 신규 품목 추가)을 분석하여 자동화 확대 방향을 안내",,
073-001-,POC_010,2026-03-05 09:00 (KST),주문 관리,,지난달 수동발주가 많았던 품목이 이번 달은 어떻게 됐어?,✅,"raw_order_extract.ord_qty, confrm_qty, auto_ord_yn, dlv_dt",수동발주 = auto_ord_yn=N 기준,"WITH LastMonthManual AS (
    -- 1. 지난달 수동 발주 수량 집계
    SELECT
        item_cd,
        item_nm,
        SUM(CAST(ord_qty AS NUMERIC)) AS last_month_order_qty
    FROM
        raw_order_extract
    WHERE
        masked_stor_cd = :store_id
        AND dlv_dt BETWEEN :last_month_start AND :last_month_end
        AND CAST(ord_qty AS NUMERIC) > 0                 -- 점주가 실제 발주한 유효 건
        AND (auto_ord_yn IS NULL OR auto_ord_yn != 'Y')  -- 자동 주문이 아닌 수동 발주 건
    GROUP BY
        item_cd,
        item_nm
),
ThisMonthManual AS (
    -- 2. 이번 달 수동 발주 수량 집계
    SELECT
        item_cd,
        SUM(CAST(ord_qty AS NUMERIC)) AS this_month_order_qty
    FROM
        raw_order_extract
    WHERE
        masked_stor_cd = :store_id
        AND dlv_dt BETWEEN :this_month_start AND :this_month_end
        AND CAST(ord_qty AS NUMERIC) > 0
        AND (auto_ord_yn IS NULL OR auto_ord_yn != 'Y')
    GROUP BY
        item_cd
)
-- 3. 지난달 수동 발주량이 많았던 순으로 이번 달과 비교
SELECT
    l.item_cd,
    l.item_nm,
    l.last_month_order_qty,                                -- 지난달 총 수동 발주 수량
    COALESCE(t.this_month_order_qty, 0) AS this_month_order_qty -- 이번 달 총 수동 발주 수량 (발주 없으면 0)
FROM
    LastMonthManual l
LEFT JOIN
    ThisMonthManual t ON l.item_cd = t.item_cd
ORDER BY
    l.last_month_order_qty DESC
LIMIT 20;  -- 상위 20개 품목 확인","WITH LastMonthManual AS (
    SELECT
        item_cd,
        item_nm,
        SUM(CAST(ord_qty AS NUMERIC)) AS last_month_order_qty
    FROM
        raw_order_extract
    WHERE
        masked_stor_cd = 'POC_010'
        AND dlv_dt BETWEEN '20260201' AND '20260228'
        AND CAST(ord_qty AS NUMERIC) > 0
        AND (auto_ord_yn IS NULL OR auto_ord_yn != 'Y')
    GROUP BY
        item_cd,
        item_nm
),
ThisMonthManual AS (
    SELECT
        item_cd,
        SUM(CAST(ord_qty AS NUMERIC)) AS this_month_order_qty
    FROM
        raw_order_extract
    WHERE
        masked_stor_cd = 'POC_010'
        AND dlv_dt BETWEEN '20260301' AND '20260304'
        AND CAST(ord_qty AS NUMERIC) > 0
        AND (auto_ord_yn IS NULL OR auto_ord_yn != 'Y')
    GROUP BY
        item_cd
)
SELECT
    l.item_cd,
    l.item_nm,
    l.last_month_order_qty,
    COALESCE(t.this_month_order_qty, 0) AS this_month_order_qty
FROM
    LastMonthManual l
LEFT JOIN
    ThisMonthManual t ON l.item_cd = t.item_cd
ORDER BY
    l.last_month_order_qty DESC
LIMIT 20;","전월 수동발주 상위 품목의 이번 달 수동발주 전환 여부와 확정률 변화를 비교하고, 여전히 수동으로만 운영 중인 품목의 개선 방향을 제시",,
074-001-,POC_010,2026-03-05 09:00 (KST),주문 관리,,이번 달 품목별 평균 발주 간격(주기) 알려줘,⚠️,"raw_order_extract.ord_qty, confrm_qty, auto_ord_yn, dlv_dt",발주 주기 = 납품일 간 LAG 계산; DB에서 직접 집계 필요,"WITH DailyOrders AS (
    -- 1. 품목별 실제 발주가 들어간 일자 추출 (하루 여러 번 발주 시 중복 제거)
    SELECT DISTINCT
        item_cd,
        item_nm,
        TO_DATE(dlv_dt, 'YYYYMMDD') AS order_date
    FROM
        raw_order_extract
    WHERE
        masked_stor_cd = :store_id
        AND dlv_dt BETWEEN :date_from AND :date_to
        AND CAST(ord_qty AS NUMERIC) > 0             -- 점주가 실제 발주한 유효 건
),
OrderIntervals AS (
    -- 2. 직전 발주 일자를 가져와 간격(일수) 계산 준비
    SELECT
        item_cd,
        item_nm,
        order_date,
        LAG(order_date) OVER (PARTITION BY item_cd ORDER BY order_date ASC) AS prev_order_date
    FROM
        DailyOrders
)
-- 3. 품목별 발주 간격의 평균 도출
SELECT
    item_cd,
    item_nm,
    COUNT(order_date) AS total_order_cnt,                     -- 해당 기간 총 발주 횟수(일수)
    ROUND(AVG(order_date - prev_order_date), 1) AS avg_interval_days -- 평균 발주 간격(일)
FROM
    OrderIntervals
WHERE
    prev_order_date IS NOT NULL                               -- 2회 이상 발주된 품목만 대상
GROUP BY
    item_cd,
    item_nm
ORDER BY
    avg_interval_days ASC;                                    -- 발주 주기가 짧은(자주 발주하는) 순으로 정렬
","WITH DailyOrders AS (
    SELECT DISTINCT
        item_cd,
        item_nm,
        TO_DATE(dlv_dt, 'YYYYMMDD') AS order_date
    FROM
        raw_order_extract
    WHERE
        masked_stor_cd = 'POC_010'
        AND dlv_dt BETWEEN '20260203' AND '20260304'  -- 최신 데이터 기준 30일 적용
        AND CAST(ord_qty AS NUMERIC) > 0
),
OrderIntervals AS (
    SELECT
        item_cd,
        item_nm,
        order_date,
        LAG(order_date) OVER (PARTITION BY item_cd ORDER BY order_date ASC) AS prev_order_date
    FROM
        DailyOrders
)
SELECT
    item_cd,
    item_nm,
    COUNT(order_date) AS total_order_cnt,
    ROUND(AVG(order_date - prev_order_date), 1) AS avg_interval_days
FROM
    OrderIntervals
WHERE
    prev_order_date IS NOT NULL
GROUP BY
    item_cd,
    item_nm
ORDER BY
    avg_interval_days ASC;","이번 달 품목별 납품일 기준 평균 발주 주기를 수치로 나열하고, 주기가 너무 길거나(7일+) 짧은(1일 이하) 품목을 구분하여 최적 주기 조정 방향을 제시",,
075-001-,POC_010,2026-03-05 09:00 (KST),주문 관리,발주 주기 길어진 품목,최근 30일 발주 주기가 갑자기 길어진 품목 있어?,✅,"raw_order_extract.ord_qty, confrm_qty, auto_ord_yn, dlv_dt",발주 주기 = 납품일 간 LAG 계산; DB에서 직접 집계 필요,"SELECT
    item_cd,
    item_nm,
    past_avg_gap_days,                                     -- 과거 평균 발주 간격(일)
    latest_gap_days,                                       -- 가장 최근 발주 간격(일)
    (latest_gap_days - past_avg_gap_days) AS gap_increase, -- 늘어난 간격 일수
    latest_order_date                                      -- 최근 발주(배송) 일자
FROM (
    -- 3. 가장 최근 발주 간격(rn=1)과 과거 평균 발주 간격(rn>1) 분리 집계
    SELECT
        item_cd,
        item_nm,
        MAX(CASE WHEN rn = 1 THEN gap_days END) AS latest_gap_days,
        ROUND(AVG(CASE WHEN rn > 1 THEN gap_days END), 1) AS past_avg_gap_days,
        MAX(CASE WHEN rn = 1 THEN order_date END) AS latest_order_date
    FROM (
        -- 2. 직전 발주 일자와의 간격(일) 계산 및 최근 순서(rn) 부여
        SELECT
            item_cd,
            item_nm,
            order_date,
            (order_date - LAG(order_date) OVER (PARTITION BY item_cd ORDER BY order_date ASC)) AS gap_days,
            ROW_NUMBER() OVER (PARTITION BY item_cd ORDER BY order_date DESC) AS rn
        FROM (
            -- 1. 기간 내 품목별 실제 발주가 들어간 일자 목록 추출 (중복 제거)
            SELECT DISTINCT
                item_cd,
                item_nm,
                TO_DATE(dlv_dt, 'YYYYMMDD') AS order_date
            FROM
                raw_order_extract
            WHERE
                masked_stor_cd = :store_id
                AND dlv_dt BETWEEN :date_from AND :date_to  -- 바인딩 파라미터 적용
                AND CAST(ord_qty AS NUMERIC) > 0              -- 점주 실 발주 유효 건 한정
        ) DailyOrders
    ) OrderIntervals
    WHERE gap_days IS NOT NULL
    GROUP BY item_cd, item_nm
) GapAnalysis
WHERE
    past_avg_gap_days IS NOT NULL
    AND latest_gap_days > past_avg_gap_days                   -- 최근 주기가 과거 평균보다 길어진 품목 필터링
ORDER BY
    gap_increase DESC NULLS LAST                              -- 간격이 갑자기 길어진 순 정렬
LIMIT 10;","SELECT
    item_cd,
    item_nm,
    past_avg_gap_days,
    latest_gap_days,
    (latest_gap_days - past_avg_gap_days) AS gap_increase,
    latest_order_date
FROM (
    SELECT
        item_cd,
        item_nm,
        MAX(CASE WHEN rn = 1 THEN gap_days END) AS latest_gap_days,
        ROUND(AVG(CASE WHEN rn > 1 THEN gap_days END), 1) AS past_avg_gap_days,
        MAX(CASE WHEN rn = 1 THEN order_date END) AS latest_order_date
    FROM (
        SELECT
            item_cd,
            item_nm,
            order_date,
            (order_date - LAG(order_date) OVER (PARTITION BY item_cd ORDER BY order_date ASC)) AS gap_days,
            ROW_NUMBER() OVER (PARTITION BY item_cd ORDER BY order_date DESC) AS rn
        FROM (
            SELECT DISTINCT
                item_cd,
                item_nm,
                TO_DATE(dlv_dt, 'YYYYMMDD') AS order_date
            FROM
                raw_order_extract
            WHERE
                masked_stor_cd = 'POC_010'
                AND dlv_dt BETWEEN '20260203' AND '20260304'  -- 최신 데이터 기준 30일 적용
                AND CAST(ord_qty AS NUMERIC) > 0
        ) DailyOrders
    ) OrderIntervals
    WHERE gap_days IS NOT NULL
    GROUP BY item_cd, item_nm
) GapAnalysis
WHERE
    past_avg_gap_days IS NOT NULL
    AND latest_gap_days > past_avg_gap_days
ORDER BY
    gap_increase DESC NULLS LAST
LIMIT 10;","최근 30일 발주 주기에서 직전 발주 간격이 과거 평균보다 늘어난 품목을 추출하고, 발주 공백 원인(계절적 수요 감소, 발주 오류, 추천 미반영)과 즉시 조치 방향을 함께 안내",ordering_get_recent30d_lengthening_order_cycle_items,발주 주기 길어진 품목|발주 간격 갑자기 늘어난 품목|발주 텀 늘어난 품목|발주 주기 변화 품목|최근 발주 공백 길어짐|발주 주기 둔화 품목|최근 30일 발주 텀 증가
076-001-,POC_010,2026-03-05 09:00 (KST),매출 관리,,이번 달 요일별 총매출 순위 알려줘,✅,"core_channel_sales.sale_amt, ord_cnt, sale_dt",요일은 sale_dt에서 추출; 공휴일 보정 없음,"SELECT 
    TRIM(TO_CHAR(TO_DATE(sale_dt, 'YYYYMMDD'), 'Day')) AS day_of_week, -- 판매 일자에서 요일 추출
    SUM(actual_sale_amt) AS total_sales_amt                            -- 요일별 실매출금액 총합
FROM 
    core_daily_item_sales
WHERE 
    masked_stor_cd = :store_id AND -- 쿼리 실행 시점 기준 이번 달 1일부터 오늘까지의 데이터 동적 조회
    sale_dt >= TO_CHAR(DATE_TRUNC('month', TO_DATE(:reference_dt, 'YYYYMMDD')), 'YYYYMMDD') 
    AND sale_dt <= :reference_dt
GROUP BY 
    TRIM(TO_CHAR(TO_DATE(sale_dt, 'YYYYMMDD'), 'Day'))
ORDER BY 
    total_sales_amt DESC NULLS LAST; -- 총매출이 가장 높은 요일 순으로 정렬","SELECT
    TRIM(TO_CHAR(TO_DATE(sale_dt, 'YYYYMMDD'), 'Day')) AS day_of_week,
    SUM(actual_sale_amt) AS total_sales_amt
FROM
    core_daily_item_sales
WHERE
    -- 동적 변수 대신 조회 기간(2026년 1월 1일 ~ 1월 24일) 텍스트를 명시적으로 직접 대입
    sale_dt >= '20260101'
    AND sale_dt <= '20260124'
GROUP BY
    TRIM(TO_CHAR(TO_DATE(sale_dt, 'YYYYMMDD'), 'Day'))
ORDER BY
    total_sales_amt DESC NULLS LAST;","이번 달 요일별 총매출을 수치로 나열하고, 가장 높은 요일과 낮은 요일의 차이를 분석하여 요일별 운영 전략(프로모션, 인력 배치) 방향을 제시",,
